tickers
TTEN3.SA
ABEV3.SA
ARZZ3.SA
ARML3.SA
ASAI3.SA
SOJA3.SA
AGRO3.SA
BRFS3.SA
CAML3.SA
CRFB3.SA
CSAN3.SA
DXCO3.SA
GMAT3.SA
HBSA3.SA
RANI3.SA
JALL3.SA
JBSS3.SA
KEPL3.SA
KLBN11.SA
MDIA3.SA
MRFG3.SA
BEEF3.SA
PCAR3.SA
RAIZ4.SA
RAPT4.SA
RCSL3.SA
RAIL3.SA
SMTO3.SA
SLCE3.SA
SUZB3.SA
TUPY3.SA
VAMO3.SA
